pair_id,CUI,label,category,original_cui,start_index,end_index
23eba108-66c7-11e7-a551-f45c89b91419,C0018802,entailment,symptoms_diseases,C0018802,30,33
"23eba108-66c7-11e7-a551-f45c89b91419,ng",C0162871,non-entailment,symptoms_diseases,C0018802,,
"23eba108-66c7-11e7-a551-f45c89b91419,ng",C0011168,non-entailment,symptoms_diseases,C0018802,,
"23eba108-66c7-11e7-a551-f45c89b91419,ng",C0085605,non-entailment,symptoms_diseases,C0018802,,
"23eba108-66c7-11e7-a551-f45c89b91419,ng",C0340643,non-entailment,symptoms_diseases,C0018802,,
"23eba108-66c7-11e7-a551-f45c89b91419,ng",C0023212,non-entailment,symptoms_diseases,C0018802,,
"23eba108-66c7-11e7-a551-f45c89b91419,ng",C0007785,non-entailment,symptoms_diseases,C0018802,,
"23eba108-66c7-11e7-a551-f45c89b91419,ng",C0014179,non-entailment,symptoms_diseases,C0018802,,
"23eba108-66c7-11e7-a551-f45c89b91419,ng",C0032285,non-entailment,symptoms_diseases,C0018802,,
"23eba108-66c7-11e7-a551-f45c89b91419,ng",C0002940,non-entailment,symptoms_diseases,C0018802,,
"23eba108-66c7-11e7-a551-f45c89b91419,ng",C0030469,non-entailment,symptoms_diseases,C0018802,,
23ecc4d2-66c7-11e7-a899-f45c89b91419,C0018799,entailment,symptoms_diseases,C0018799,18,35
"23ecc4d2-66c7-11e7-a899-f45c89b91419,ng",C0024115,non-entailment,symptoms_diseases,C0018799,,
"23ecc4d2-66c7-11e7-a899-f45c89b91419,ng",C0002940,non-entailment,symptoms_diseases,C0018799,,
"23ecc4d2-66c7-11e7-a899-f45c89b91419,ng",C0021390,non-entailment,symptoms_diseases,C0018799,,
"23ecc4d2-66c7-11e7-a899-f45c89b91419,ng",C0011880,non-entailment,symptoms_diseases,C0018799,,
"23ecc4d2-66c7-11e7-a899-f45c89b91419,ng",C0149871,non-entailment,symptoms_diseases,C0018799,,
"23ecc4d2-66c7-11e7-a899-f45c89b91419,ng",C0742078,non-entailment,symptoms_diseases,C0018799,,
"23ecc4d2-66c7-11e7-a899-f45c89b91419,ng",C0004364,non-entailment,symptoms_diseases,C0018799,,
"23ecc4d2-66c7-11e7-a899-f45c89b91419,ng",C0275518,non-entailment,symptoms_diseases,C0018799,,
"23ecc4d2-66c7-11e7-a899-f45c89b91419,ng",C0546817,non-entailment,symptoms_diseases,C0018799,,
"23ecc4d2-66c7-11e7-a899-f45c89b91419,ng",C1510654,non-entailment,symptoms_diseases,C0018799,,
23ed7efe-66c7-11e7-bc88-f45c89b91419,C0042029,entailment,symptoms_diseases,C0042029,23,27
"23ed7efe-66c7-11e7-bc88-f45c89b91419,ng",C0149871,non-entailment,symptoms_diseases,C0042029,,
"23ed7efe-66c7-11e7-bc88-f45c89b91419,ng",C0011880,non-entailment,symptoms_diseases,C0042029,,
"23ed7efe-66c7-11e7-bc88-f45c89b91419,ng",C0014179,non-entailment,symptoms_diseases,C0042029,,
"23ed7efe-66c7-11e7-bc88-f45c89b91419,ng",C1145670,non-entailment,symptoms_diseases,C0042029,,
"23ed7efe-66c7-11e7-bc88-f45c89b91419,ng",C0034065,non-entailment,symptoms_diseases,C0042029,,
"23ed7efe-66c7-11e7-bc88-f45c89b91419,ng",C0340288,non-entailment,symptoms_diseases,C0042029,,
"23ed7efe-66c7-11e7-bc88-f45c89b91419,ng",C0007785,non-entailment,symptoms_diseases,C0042029,,
"23ed7efe-66c7-11e7-bc88-f45c89b91419,ng",C0027051,non-entailment,symptoms_diseases,C0042029,,
"23ed7efe-66c7-11e7-bc88-f45c89b91419,ng",C0024117,non-entailment,symptoms_diseases,C0042029,,
"23ed7efe-66c7-11e7-bc88-f45c89b91419,ng",C1956346,non-entailment,symptoms_diseases,C0042029,,
23eedc2c-66c7-11e7-87f1-f45c89b91419,C0018799,entailment,symptoms_diseases,C0018799,18,35
"23eedc2c-66c7-11e7-87f1-f45c89b91419,ng",C0019064,non-entailment,symptoms_diseases,C0018799,,
"23eedc2c-66c7-11e7-87f1-f45c89b91419,ng",C0028754,non-entailment,symptoms_diseases,C0018799,,
"23eedc2c-66c7-11e7-87f1-f45c89b91419,ng",C0019372,non-entailment,symptoms_diseases,C0018799,,
"23eedc2c-66c7-11e7-87f1-f45c89b91419,ng",C0012569,non-entailment,symptoms_diseases,C0018799,,
"23eedc2c-66c7-11e7-87f1-f45c89b91419,ng",C0002940,non-entailment,symptoms_diseases,C0018799,,
"23eedc2c-66c7-11e7-87f1-f45c89b91419,ng",C0020538,non-entailment,symptoms_diseases,C0018799,,
"23eedc2c-66c7-11e7-87f1-f45c89b91419,ng",C0746883,non-entailment,symptoms_diseases,C0018799,,
"23eedc2c-66c7-11e7-87f1-f45c89b91419,ng",C0004364,non-entailment,symptoms_diseases,C0018799,,
"23eedc2c-66c7-11e7-87f1-f45c89b91419,ng",C0242966,non-entailment,symptoms_diseases,C0018799,,
"23eedc2c-66c7-11e7-87f1-f45c89b91419,ng",C0017160,non-entailment,symptoms_diseases,C0018799,,
23eee742-66c7-11e7-9180-f45c89b91419,C0037199,entailment,symptoms_diseases,C0037199,12,21
"23eee742-66c7-11e7-9180-f45c89b91419,ng",C0027720,non-entailment,symptoms_diseases,C0037199,,
"23eee742-66c7-11e7-9180-f45c89b91419,ng",C0011860,non-entailment,symptoms_diseases,C0037199,,
"23eee742-66c7-11e7-9180-f45c89b91419,ng",C0009319,non-entailment,symptoms_diseases,C0037199,,
"23eee742-66c7-11e7-9180-f45c89b91419,ng",C0037278,non-entailment,symptoms_diseases,C0037199,,
"23eee742-66c7-11e7-9180-f45c89b91419,ng",C0020305,non-entailment,symptoms_diseases,C0037199,,
"23eee742-66c7-11e7-9180-f45c89b91419,ng",C0034065,non-entailment,symptoms_diseases,C0037199,,
"23eee742-66c7-11e7-9180-f45c89b91419,ng",C0004623,non-entailment,symptoms_diseases,C0037199,,
"23eee742-66c7-11e7-9180-f45c89b91419,ng",C0040583,non-entailment,symptoms_diseases,C0037199,,
"23eee742-66c7-11e7-9180-f45c89b91419,ng",C0042029,non-entailment,symptoms_diseases,C0037199,,
"23eee742-66c7-11e7-9180-f45c89b91419,ng",C0022661,non-entailment,symptoms_diseases,C0037199,,
23f07d02-66c7-11e7-983d-f45c89b91419,C0034063,entailment,symptoms_diseases,C0034063,12,27
"23f07d02-66c7-11e7-983d-f45c89b91419,ng",C0155626,non-entailment,symptoms_diseases,C0034063,,
"23f07d02-66c7-11e7-983d-f45c89b91419,ng",C0011880,non-entailment,symptoms_diseases,C0034063,,
"23f07d02-66c7-11e7-983d-f45c89b91419,ng",C0742078,non-entailment,symptoms_diseases,C0034063,,
"23f07d02-66c7-11e7-983d-f45c89b91419,ng",C0018801,non-entailment,symptoms_diseases,C0034063,,
"23f07d02-66c7-11e7-983d-f45c89b91419,ng",C0027765,non-entailment,symptoms_diseases,C0034063,,
"23f07d02-66c7-11e7-983d-f45c89b91419,ng",C0003504,non-entailment,symptoms_diseases,C0034063,,
"23f07d02-66c7-11e7-983d-f45c89b91419,ng",C0011880,non-entailment,symptoms_diseases,C0034063,,
"23f07d02-66c7-11e7-983d-f45c89b91419,ng",C0027051,non-entailment,symptoms_diseases,C0034063,,
"23f07d02-66c7-11e7-983d-f45c89b91419,ng",C0041952,non-entailment,symptoms_diseases,C0034063,,
"23f07d02-66c7-11e7-983d-f45c89b91419,ng",C0019064,non-entailment,symptoms_diseases,C0034063,,
23f1dcec-66c7-11e7-bab8-f45c89b91419,C0017168,entailment,symptoms_diseases,C0017168,23,27
"23f1dcec-66c7-11e7-bab8-f45c89b91419,ng",C0014335,non-entailment,symptoms_diseases,C0017168,,
"23f1dcec-66c7-11e7-bab8-f45c89b91419,ng",C0030305,non-entailment,symptoms_diseases,C0017168,,
"23f1dcec-66c7-11e7-bab8-f45c89b91419,ng",C0031350,non-entailment,symptoms_diseases,C0017168,,
"23f1dcec-66c7-11e7-bab8-f45c89b91419,ng",C0023895,non-entailment,symptoms_diseases,C0017168,,
"23f1dcec-66c7-11e7-bab8-f45c89b91419,ng",C0585105,non-entailment,symptoms_diseases,C0017168,,
"23f1dcec-66c7-11e7-bab8-f45c89b91419,ng",C0011860,non-entailment,symptoms_diseases,C0017168,,
"23f1dcec-66c7-11e7-bab8-f45c89b91419,ng",C0023895,non-entailment,symptoms_diseases,C0017168,,
