pair_id,CUI,label,original_cui,start_index,end_index
"189a0248-66c7-11e7-9e2d-f45c89b91419,ng",C0011168,non-entailment,C0027051,,
"2400437e-66c7-11e7-b8c3-f45c89b91419,ng",C0149931,non-entailment,C0024117,,
"242246fa-66c7-11e7-a59d-f45c89b91419,ng",C0035021,non-entailment,C0022661,,
"1894640a-66c7-11e7-a0dc-f45c89b91419,ng",C0026267,non-entailment,C0014544,,
189a32d8-66c7-11e7-81b7-f45c89b91419,C0004364,entailment,C0004364,20,40
"1f309338-66c7-11e7-b3ab-f45c89b91419,ng",C0876973,non-entailment,C0019348,,
"240b163a-66c7-11e7-a344-f45c89b91419,ng",C0403447,non-entailment,C0018802,,
"23f9e0f4-66c7-11e7-91bc-f45c89b91419,ng",C0022660,non-entailment,C0162871,,
"240cedfa-66c7-11e7-8f92-f45c89b91419,ng",C0558382,non-entailment,C0024117,,
"240b163a-66c7-11e7-a344-f45c89b91419,ng",C0027051,non-entailment,C0018802,,
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0038454,non-entailment,C1561643,,
"2403dadc-66c7-11e7-9f41-f45c89b91419,ng",C0149801,non-entailment,C0457949,,
"23ebd37e-66c7-11e7-aec4-f45c89b91419,ng",C0012813,non-entailment,C0032290,,
"1894640a-66c7-11e7-a0dc-f45c89b91419,ng",C0026269,non-entailment,C0014544,,
"23f9e0f4-66c7-11e7-91bc-f45c89b91419,ng",C0042029,non-entailment,C0162871,,
"2427ba24-66c7-11e7-a037-f45c89b91419,ng",C0019196,non-entailment,C0008350,,
"24330836-66c7-11e7-95f8-f45c89b91419,ng",C0027051,non-entailment,C0007273,,
"2428a2e8-66c7-11e7-8a78-f45c89b91419,ng",C0032371,non-entailment,C0235329,,
"241acbac-66c7-11e7-9650-f45c89b91419,ng",C0002940,non-entailment,C0022661,,
"189bd42e-66c7-11e7-bb0e-f45c89b91419,ng",C0026269,non-entailment,C0235329,,
"241e41ae-66c7-11e7-adc0-f45c89b91419,ng",C0007194,non-entailment,C0032227,,
2429943e-66c7-11e7-927a-f45c89b91419,C0018802,entailment,C0018802,17,41
1f35a666-66c7-11e7-9c66-f45c89b91419,C0018790,entailment,C0018790,17,31
2416c90a-66c7-11e7-b579-f45c89b91419,C0011880,entailment,C0011880,34,55
"23f4254c-66c7-11e7-b0de-f45c89b91419,ng",C0008350,non-entailment,C0004096,,
"240b5ab4-66c7-11e7-b812-f45c89b91419,ng",C0032371,non-entailment,C0162871,,
"1893c8ae-66c7-11e7-8eab-f45c89b91419,ng",C0025517,non-entailment,C0262655,,
"23fd3b78-66c7-11e7-957e-f45c89b91419,ng",C0155909,non-entailment,C0235480,,
"2429943e-66c7-11e7-927a-f45c89b91419,ng",C0004364,non-entailment,C0018802,,
"23fa11c8-66c7-11e7-8af6-f45c89b91419,ng",C0007273,non-entailment,C0037199,,
"243e8718-66c7-11e7-8f2f-f45c89b91419,ng",C0403447,non-entailment,C0004096,,
"189725be-66c7-11e7-9899-f45c89b91419,ng",C0020676,non-entailment,C0949083,,
"24153a70-66c7-11e7-97a8-f45c89b91419,ng",C0235329,non-entailment,C0007766,,
"23f0c76c-66c7-11e7-9db4-f45c89b91419,ng",C0030312,non-entailment,C0027765,,
"241ea812-66c7-11e7-b42f-f45c89b91419,ng",C0876973,non-entailment,C0042029,,
"241c2ccc-66c7-11e7-8c9f-f45c89b91419,ng",C0002940,non-entailment,C0155626,,
"240b163a-66c7-11e7-a344-f45c89b91419,ng",C0558382,non-entailment,C0018802,,
"2441aa24-66c7-11e7-a698-f45c89b91419,ng",C0003864,non-entailment,C0020538,,
"240b5ab4-66c7-11e7-b812-f45c89b91419,ng",C0042345,non-entailment,C0162871,,
"189bf1f4-66c7-11e7-bc85-f45c89b91419,ng",C0403447,non-entailment,C0007282,,
"2436c6ae-66c7-11e7-82d5-f45c89b91419,ng",C0004364,non-entailment,C0012813,,
2436c6ae-66c7-11e7-82d5-f45c89b91419,C0012813,entailment,C0012813,30,44
"189f5a54-66c7-11e7-aa20-f45c89b91419,ng",C0152020,non-entailment,C0038454,,
"240c9938-66c7-11e7-b43d-f45c89b91419,ng",C1510654,non-entailment,C0038454,,
"242ece74-66c7-11e7-aa21-f45c89b91419,ng",C0442874,non-entailment,C0013182,,
244716c6-66c7-11e7-a6d3-f45c89b91419,C0741103,entailment,C0741103,20,38
"2412f918-66c7-11e7-bbb4-f45c89b91419,ng",C0085615,non-entailment,C0030312,,
"1f354c70-66c7-11e7-9f55-f45c89b91419,ng",C0038449,non-entailment,C0035021,,
23fc2634-66c7-11e7-a899-f45c89b91419,C0020542,entailment,C0020542,17,39
"2412f918-66c7-11e7-bbb4-f45c89b91419,ng",C0020542,non-entailment,C0030312,,
"189408fa-66c7-11e7-999b-f45c89b91419,ng",C1527303,non-entailment,C0015230,,
"2415965a-66c7-11e7-a448-f45c89b91419,ng",C0011168,non-entailment,C0152020,,
"241ae736-66c7-11e7-9af3-f45c89b91419,ng",C0149721,non-entailment,C0020676,,
"2412fd26-66c7-11e7-952d-f45c89b91419,ng",C0149931,non-entailment,C0003864,,
"1f36c686-66c7-11e7-9dba-f45c89b91419,ng",C0034155,non-entailment,C0038454,,
"241d7a3a-66c7-11e7-a800-f45c89b91419,ng",C0003504,non-entailment,C0010054,,
"242a8c06-66c7-11e7-9e79-f45c89b91419,ng",C0018799,non-entailment,C0024117,,
"23ef0ca6-66c7-11e7-8d41-f45c89b91419,ng",C0235480,non-entailment,C0042029,,
"24128b10-66c7-11e7-a992-f45c89b91419,ng",C0042345,non-entailment,C0003486,,
"1f2eaa5a-66c7-11e7-b4e6-f45c89b91419,ng",C0014009,non-entailment,C0020542,,
"241e9368-66c7-11e7-8042-f45c89b91419,ng",C0235325,non-entailment,C0038833,,
"2425865a-66c7-11e7-b45d-f45c89b91419,ng",C0558382,non-entailment,C0038449,,
2418145c-66c7-11e7-aa8a-f45c89b91419,C0012813,entailment,C0012813,28,42
"24148242-66c7-11e7-816e-f45c89b91419,ng",C0007194,non-entailment,C0020538,,
"1f36dc5c-66c7-11e7-a54f-f45c89b91419,ng",C0014118,non-entailment,C0020456,,
"189725be-66c7-11e7-9899-f45c89b91419,ng",C0035078,non-entailment,C0949083,,
189bf1f4-66c7-11e7-bc85-f45c89b91419,C0007282,entailment,C0007282,27,50
2404e826-66c7-11e7-bd9b-f45c89b91419,C0020538,entailment,C0020538,12,31
"23f2fb5e-66c7-11e7-899b-f45c89b91419,ng",C0017168,non-entailment,C0020538,,
"2401d780-66c7-11e7-986f-f45c89b91419,ng",C1510654,non-entailment,C0014009,,
"241b8a92-66c7-11e7-8fe0-f45c89b91419,ng",C0008350,non-entailment,C0034063,,
"18933d64-66c7-11e7-874c-f45c89b91419,ng",C0152025,non-entailment,C0020456,,
"2400437e-66c7-11e7-b8c3-f45c89b91419,ng",C0011854,non-entailment,C0024117,,
"189a0248-66c7-11e7-9e2d-f45c89b91419,ng",C0457949,non-entailment,C0027051,,
241f3e58-66c7-11e7-9d85-f45c89b91419,C0024115,entailment,C0024115,17,34
2446c790-66c7-11e7-aeeb-f45c89b91419,C0558382,entailment,C0558382,17,39
"241517fa-66c7-11e7-9c87-f45c89b91419,ng",C0149931,non-entailment,C0007787,,
