pair_id,CUI,label,original_cui,start_index,end_index
23ef0774-66c7-11e7-8c4c-f45c89b91419,C3272265,entailment,C3272265,16,36
23ef0ca6-66c7-11e7-8d41-f45c89b91419,C0042029,entailment,C0042029,18,41
"23ef0ca6-66c7-11e7-8d41-f45c89b91419,ng",C1510654,non-entailment,C0042029,,
"23ef0ca6-66c7-11e7-8d41-f45c89b91419,ng",C0022660,non-entailment,C0042029,,
"23ef0ca6-66c7-11e7-8d41-f45c89b91419,ng",C1561643,non-entailment,C0042029,,
"23ef0ca6-66c7-11e7-8d41-f45c89b91419,ng",C0162316,non-entailment,C0042029,,
"23ef0ca6-66c7-11e7-8d41-f45c89b91419,ng",C0018802,non-entailment,C0042029,,
"23ef0ca6-66c7-11e7-8d41-f45c89b91419,ng",C0011168,non-entailment,C0042029,,
"23ef0ca6-66c7-11e7-8d41-f45c89b91419,ng",C0520679,non-entailment,C0042029,,
"23ef0ca6-66c7-11e7-8d41-f45c89b91419,ng",C0020676,non-entailment,C0042029,,
"23ef0ca6-66c7-11e7-8d41-f45c89b91419,ng",C0035078,non-entailment,C0042029,,
"23ef0ca6-66c7-11e7-8d41-f45c89b91419,ng",C0015230,non-entailment,C0042029,,
23efe950-66c7-11e7-a93a-f45c89b91419,C0018799,entailment,C0018799,12,25
"23efe950-66c7-11e7-a93a-f45c89b91419,ng",C1561643,non-entailment,C0018799,,
"23efe950-66c7-11e7-a93a-f45c89b91419,ng",C0022660,non-entailment,C0018799,,
"23efe950-66c7-11e7-a93a-f45c89b91419,ng",C0037315,non-entailment,C0018799,,
"23efe950-66c7-11e7-a93a-f45c89b91419,ng",C0020538,non-entailment,C0018799,,
"23efe950-66c7-11e7-a93a-f45c89b91419,ng",C0023895,non-entailment,C0018799,,
"23efe950-66c7-11e7-a93a-f45c89b91419,ng",C0035078,non-entailment,C0018799,,
"23efe950-66c7-11e7-a93a-f45c89b91419,ng",C0032227,non-entailment,C0018799,,
"23efe950-66c7-11e7-a93a-f45c89b91419,ng",C0022661,non-entailment,C0018799,,
"23efe950-66c7-11e7-a93a-f45c89b91419,ng",C0520679,non-entailment,C0018799,,
"23efe950-66c7-11e7-a93a-f45c89b91419,ng",C0018099,non-entailment,C0018799,,
23f038ba-66c7-11e7-9871-f45c89b91419,C0018802,entailment,C0018802,16,40
"23f038ba-66c7-11e7-9871-f45c89b91419,ng",C0035078,non-entailment,C0018802,,
"23f038ba-66c7-11e7-9871-f45c89b91419,ng",C0032227,non-entailment,C0018802,,
"23f038ba-66c7-11e7-9871-f45c89b91419,ng",C1561643,non-entailment,C0018802,,
"23f038ba-66c7-11e7-9871-f45c89b91419,ng",C0155626,non-entailment,C0018802,,
"23f038ba-66c7-11e7-9871-f45c89b91419,ng",C0002965,non-entailment,C0018802,,
"23f038ba-66c7-11e7-9871-f45c89b91419,ng",C0007194,non-entailment,C0018802,,
"23f038ba-66c7-11e7-9871-f45c89b91419,ng",C0022660,non-entailment,C0018802,,
"23f038ba-66c7-11e7-9871-f45c89b91419,ng",C0020538,non-entailment,C0018802,,
"23f038ba-66c7-11e7-9871-f45c89b91419,ng",C0018790,non-entailment,C0018802,,
"23f038ba-66c7-11e7-9871-f45c89b91419,ng",C0085615,non-entailment,C0018802,,
23f10b28-66c7-11e7-9dd5-f45c89b91419,C0011847,entailment,C0011847,21,29
23f25258-66c7-11e7-be33-f45c89b91419,C0017168,entailment,C0017168,11,42
"23f25258-66c7-11e7-be33-f45c89b91419,ng",C0004763,non-entailment,C0017168,,
"23f25258-66c7-11e7-be33-f45c89b91419,ng",C0022104,non-entailment,C0017168,,
"23f25258-66c7-11e7-be33-f45c89b91419,ng",C0020676,non-entailment,C0017168,,
"23f25258-66c7-11e7-be33-f45c89b91419,ng",C0001339,non-entailment,C0017168,,
"23f25258-66c7-11e7-be33-f45c89b91419,ng",C0037315,non-entailment,C0017168,,
"23f25258-66c7-11e7-be33-f45c89b91419,ng",C0152020,non-entailment,C0017168,,
"23f25258-66c7-11e7-be33-f45c89b91419,ng",C0018802,non-entailment,C0017168,,
"23f25258-66c7-11e7-be33-f45c89b91419,ng",C0017152,non-entailment,C0017168,,
"23f25258-66c7-11e7-be33-f45c89b91419,ng",C0085615,non-entailment,C0017168,,
"23f25258-66c7-11e7-be33-f45c89b91419,ng",C0020538,non-entailment,C0017168,,
23f2fb5e-66c7-11e7-899b-f45c89b91419,C0020538,entailment,C0020538,11,30
"23f2fb5e-66c7-11e7-899b-f45c89b91419,ng",C0035078,non-entailment,C0020538,,
"23f2fb5e-66c7-11e7-899b-f45c89b91419,ng",C0018802,non-entailment,C0020538,,
"23f2fb5e-66c7-11e7-899b-f45c89b91419,ng",C0038449,non-entailment,C0020538,,
"23f2fb5e-66c7-11e7-899b-f45c89b91419,ng",C0018801,non-entailment,C0020538,,
"23f2fb5e-66c7-11e7-899b-f45c89b91419,ng",C0155626,non-entailment,C0020538,,
"23f2fb5e-66c7-11e7-899b-f45c89b91419,ng",C0020676,non-entailment,C0020538,,
"23f2fb5e-66c7-11e7-899b-f45c89b91419,ng",C0002965,non-entailment,C0020538,,
"23f2fb5e-66c7-11e7-899b-f45c89b91419,ng",C0007194,non-entailment,C0020538,,
"23f2fb5e-66c7-11e7-899b-f45c89b91419,ng",C0085615,non-entailment,C0020538,,
"23f2fb5e-66c7-11e7-899b-f45c89b91419,ng",C1956346,non-entailment,C0020538,,
23f9c1be-66c7-11e7-a433-f45c89b91419,C0002940,entailment,C0002940,23,31
"23f9c1be-66c7-11e7-a433-f45c89b91419,ng",C0038449,non-entailment,C0002940,,
"23f9c1be-66c7-11e7-a433-f45c89b91419,ng",C0020538,non-entailment,C0002940,,
"23f9c1be-66c7-11e7-a433-f45c89b91419,ng",C0002965,non-entailment,C0002940,,
"23f9c1be-66c7-11e7-a433-f45c89b91419,ng",C0007282,non-entailment,C0002940,,
"23f9c1be-66c7-11e7-a433-f45c89b91419,ng",C0155626,non-entailment,C0002940,,
"23f9c1be-66c7-11e7-a433-f45c89b91419,ng",C0035439,non-entailment,C0002940,,
"23f9c1be-66c7-11e7-a433-f45c89b91419,ng",C0007273,non-entailment,C0002940,,
"23f9c1be-66c7-11e7-a433-f45c89b91419,ng",C0018799,non-entailment,C0002940,,
"23f9c1be-66c7-11e7-a433-f45c89b91419,ng",C0018801,non-entailment,C0002940,,
"23f9c1be-66c7-11e7-a433-f45c89b91419,ng",C1956346,non-entailment,C0002940,,
23fcb5c0-66c7-11e7-bc68-f45c89b91419,C0027051,entailment,C0027051,21,33
"23fcb5c0-66c7-11e7-bc68-f45c89b91419,ng",C0587044,non-entailment,C0027051,,
"23fcb5c0-66c7-11e7-bc68-f45c89b91419,ng",C0242231,non-entailment,C0027051,,
"23fcb5c0-66c7-11e7-bc68-f45c89b91419,ng",C0742758,non-entailment,C0027051,,
"23fcb5c0-66c7-11e7-bc68-f45c89b91419,ng",C0149721,non-entailment,C0027051,,
"23fcb5c0-66c7-11e7-bc68-f45c89b91419,ng",C0003504,non-entailment,C0027051,,
"23fcb5c0-66c7-11e7-bc68-f45c89b91419,ng",C0026269,non-entailment,C0027051,,
"23fcb5c0-66c7-11e7-bc68-f45c89b91419,ng",C0003507,non-entailment,C0027051,,
"23fcb5c0-66c7-11e7-bc68-f45c89b91419,ng",C0026267,non-entailment,C0027051,,
"23fcb5c0-66c7-11e7-bc68-f45c89b91419,ng",C0007787,non-entailment,C0027051,,
"23fcb5c0-66c7-11e7-bc68-f45c89b91419,ng",C0020542,non-entailment,C0027051,,
24000a6c-66c7-11e7-9e6f-f45c89b91419,C1561643,entailment,C1561643,12,15
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0022660,non-entailment,C1561643,,
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0022661,non-entailment,C1561643,,
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0018801,non-entailment,C1561643,,
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0085615,non-entailment,C1561643,,
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0035078,non-entailment,C1561643,,
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0018802,non-entailment,C1561643,,
